new_geneID	originalID	chromosome	start	end	strand
contig_120	MRS000120	MRS.Chr	121810	122412	-
contig_121	MRS000121	MRS.Chr	122547	125066	+
contig_122	MRS000122	MRS.Chr	125287	126744	+
contig_123	MRS000123	MRS.Chr	126940	127899	+
contig_124	MRS000124	MRS.Chr	128050	129630	+
contig_125	MRS000125	MRS.Chr	129771	130337	+
contig_126	MRS000126	MRS.Chr	130355	133855	+
contig_127	MRS000127	MRS.Chr	133860	135458	+
contig_128	MRS000128	MRS.Chr	135449	135727	+
contig_129	MRS000129	MRS.Chr	135865	136236	+
contig_130	MRS000130	MRS.Chr	136525	137499	+
contig_131	MRS000131	MRS.Chr	137606	138202	+
contig_132	MRS000132	MRS.Chr	138422	140350	+
contig_133	MRS000133	MRS.Chr	140409	141356	+
contig_134	MRS000134	MRS.Chr	141464	142948	+
contig_135	MRS000135	MRS.Chr	143023	143544	+
contig_136	MRS000136	MRS.Chr	143553	144413	+
contig_137	MRS000137	MRS.Chr	145333	145566	+
contig_138	MRS000138	MRS.Chr	145563	145712	+
contig_139	MRS000139	MRS.Chr	148401	148643	+
contig_140	MRS000140	MRS.Chr	149263	149592	+
contig_141	MRS000141	MRS.Chr	151002	152357	+
contig_142	MRS000142	MRS.Chr	152357	154504	+
contig_143	MRS000143	MRS.Chr	154539	155483	+
contig_144	MRS000144	MRS.Chr	155698	156156	+
contig_145	MRS000145	MRS.Chr	156269	156622	-
contig_146	MRS000146	MRS.Chr	156697	156948	+
contig_147	MRS000147	MRS.Chr	156965	157627	+
contig_148	MRS000148	MRS.Chr	157675	158196	+
contig_149	MRS000149	MRS.Chr	158205	159065	+
contig_150	MRS000150	MRS.Chr	159140	159982	-
contig_151	MRS000151	MRS.Chr	160135	161043	+
contig_152	MRS000152	MRS.Chr	161240	161944	+
contig_153	MRS000153	MRS.Chr	162560	163819	+
contig_154	MRS000154	MRS.Chr	164412	166106	+
contig_155	MRS000155	MRS.Chr	166146	167087	+
contig_156	MRS000156	MRS.Chr	167080	168048	+
contig_157	MRS000157	MRS.Chr	168067	168429	+
contig_158	MRS000158	MRS.Chr	168434	169489	+
contig_159	MRS000159	MRS.Chr	169482	170363	+
contig_160	MRS000160	MRS.Chr	170493	171431	-
contig_161	MRS000161	MRS.Chr	171871	172959	+
contig_162	MRS000162	MRS.Chr	173075	173410	+
contig_163	MRS000163	MRS.Chr	173757	174233	+
contig_164	MRS000164	MRS.Chr	174282	175637	+
contig_165	MRS000165	MRS.Chr	175712	176893	-
contig_166	MRS000166	MRS.Chr	177320	178624	+
contig_167	MRS000167	MRS.Chr	178630	179202	+
contig_168	MRS000168	MRS.Chr	179517	180386	+
contig_169	MRS000169	MRS.Chr	180624	182222	+
contig_170	MRS000170	MRS.Chr	182222	183754	+
contig_171	MRS000171	MRS.Chr	185067	186410	+
contig_172	MRS000172	MRS.Chr	186702	187844	+
contig_173	MRS000173	MRS.Chr	187913	188845	+
contig_174	MRS000174	MRS.Chr	189115	190134	+
contig_175	MRS000175	MRS.Chr	190192	191175	+
contig_176	MRS000176	MRS.Chr	191292	192761	-
contig_177	MRS000177	MRS.Chr	193173	193901	-
contig_178	MRS000178	MRS.Chr	194024	194530	-
contig_179	MRS000179	MRS.Chr	194774	197335	+
contig_180	MRS000180	MRS.Chr	197338	198069	+
contig_181	MRS000181	MRS.Chr	198059	199585	+
contig_182	MRS000182	MRS.Chr	199672	200814	+
contig_183	MRS000183	MRS.Chr	200816	201646	+
contig_184	MRS000184	MRS.Chr	201769	202275	+
contig_185	MRS000185	MRS.Chr	202381	202509	+
contig_186	MRS000186	MRS.Chr	203009	204520	+
contig_187	MRS000187	MRS.Chr	204520	206331	+
contig_188	MRS000188	MRS.Chr	206331	207104	+
contig_189	MRS000189	MRS.Chr	207085	207795	+
contig_190	MRS000190	MRS.Chr	208174	208614	-
contig_191	MRS000191	MRS.Chr	208856	209014	+
contig_192	MRS000192	MRS.Chr	209189	209473	-
contig_193	MRS000193	MRS.Chr	210024	210218	-
contig_194	MRS000194	MRS.Chr	210748	211026	+
contig_195	MRS000195	MRS.Chr	211019	211300	+
contig_196	MRS000196	MRS.Chr	211406	211906	-
contig_197	MRS000197	MRS.Chr	211961	212332	-
contig_198	MRS000198	MRS.Chr	212624	213046	-
contig_199	MRS000199	MRS.Chr	213208	213927	-
contig_200	MRS000200	MRS.Chr	213981	214889	-
contig_201	MRS000201	MRS.Chr	215107	216369	+
contig_202	MRS000202	MRS.Chr	216484	217323	+
contig_203	MRS000203	MRS.Chr	217323	218186	+
contig_204	MRS000204	MRS.Chr	218196	218567	+
contig_205	MRS000205	MRS.Chr	218586	220427	+
contig_206	MRS000206	MRS.Chr	220477	221583	+
contig_207	MRS000207	MRS.Chr	221674	222684	-
contig_208	MRS000208	MRS.Chr	222806	224851	+
contig_209	MRS000209	MRS.Chr	224866	226767	+
contig_210	MRS000210	MRS.Chr	226921	228465	+
contig_211	MRS000211	MRS.Chr	228730	229923	+
contig_212	MRS000212	MRS.Chr	230047	230685	+
contig_213	MRS000213	MRS.Chr	231251	233071	+
contig_214	MRS000214	MRS.Chr	233256	233801	+
contig_215	MRS000215	MRS.Chr	233863	234786	-
contig_216	MRS000216	MRS.Chr	235105	235986	-
contig_217	MRS000217	MRS.Chr	235990	236613	-
contig_218	MRS000218	MRS.Chr	237010	238173	+
contig_219	MRS000219	MRS.Chr	238330	239664	-
contig_220	MRS000220	MRS.Chr	239900	240733	+
contig_221	MRS000221	MRS.Chr	240908	242632	+
contig_222	MRS000222	MRS.Chr	242634	244418	+
contig_223	MRS000223	MRS.Chr	244615	245091	+
contig_224	MRS000224	MRS.Chr	245338	246417	+
contig_225	MRS000225	MRS.Chr	246585	247124	+
contig_226	MRS000226	MRS.Chr	247204	248424	+
contig_227	MRS000227	MRS.Chr	248636	249061	+
contig_228	MRS000228	MRS.Chr	249126	250502	+
contig_229	MRS000229	MRS.Chr	250675	251187	-
contig_230	MRS000230	MRS.Chr	251147	251842	-
contig_231	MRS000231	MRS.Chr	251998	254412	+
contig_232	MRS000232	MRS.Chr	254604	255674	+
contig_233	MRS000233	MRS.Chr	255862	257865	+
contig_234	MRS000234	MRS.Chr	258203	259468	+
contig_235	MRS000235	MRS.Chr	259543	259977	-
contig_236	MRS000236	MRS.Chr	259955	260860	-
contig_237	MRS000237	MRS.Chr	260853	262340	-
contig_238	MRS000238	MRS.Chr	262443	263642	+
contig_239	MRS000239	MRS.Chr	263756	264664	-
contig_240	MRS000240	MRS.Chr	264797	265192	-
contig_241	MRS000241	MRS.Chr	265330	265482	+
contig_242	MRS000242	MRS.Chr	265648	265980	+
contig_243	MRS000243	MRS.Chr	266060	267487	+
contig_244	MRS000244	MRS.Chr	267756	269090	+
contig_245	MRS000245	MRS.Chr	269175	270566	+
contig_246	MRS000246	MRS.Chr	270700	274266	+
contig_247	MRS000247	MRS.Chr	274266	278075	+
contig_248	MRS000248	MRS.Chr	278076	278201	+
contig_249	MRS000249	MRS.Chr	278186	279436	-
contig_250	MRS000250	MRS.Chr	279591	281102	+
contig_251	MRS000251	MRS.Chr	281225	282691	+
contig_252	MRS000252	MRS.Chr	282861	283331	+
contig_253	MRS000253	MRS.Chr	283488	284336	+
contig_254	MRS000254	MRS.Chr	284358	285740	+
contig_255	MRS000255	MRS.Chr	285853	286851	+
contig_256	MRS000256	MRS.Chr	286917	287861	+
contig_257	MRS000257	MRS.Chr	287988	288287	+
contig_258	MRS000258	MRS.Chr	288358	288909	+
contig_259	MRS000259	MRS.Chr	288965	289207	+
contig_260	MRS000260	MRS.Chr	289505	289957	+
contig_261	MRS000261	MRS.Chr	290226	290717	+
contig_262	MRS000262	MRS.Chr	290710	291831	+
contig_263	MRS000263	MRS.Chr	291834	292571	+
contig_264	MRS000264	MRS.Chr	292573	292836	+
contig_265	MRS000265	MRS.Chr	292833	293519	+
contig_266	MRS000266	MRS.Chr	293512	295746	+
contig_267	MRS000267	MRS.Chr	295752	297191	+
contig_268	MRS000268	MRS.Chr	297219	298235	+
contig_269	MRS000269	MRS.Chr	298235	298819	+
contig_270	MRS000270	MRS.Chr	298822	300351	+
contig_271	MRS000271	MRS.Chr	300366	301598	+
contig_272	MRS000272	MRS.Chr	302368	303519	+
contig_273	MRS000273	MRS.Chr	303519	304370	+
contig_274	MRS000274	MRS.Chr	304761	305465	+
contig_275	MRS000275	MRS.Chr	305543	307426	+
contig_276	MRS000276	MRS.Chr	307413	308741	+
contig_277	MRS000277	MRS.Chr	308742	309563	+
contig_278	MRS000278	MRS.Chr	309772	310572	+
contig_279	MRS000279	MRS.Chr	310681	311898	+
contig_280	MRS000280	MRS.Chr	312037	312168	-
contig_281	MRS000281	MRS.Chr	312404	312841	-
contig_282	MRS000282	MRS.Chr	312945	314321	+
contig_283	MRS000283	MRS.Chr	314337	315173	+
contig_284	MRS000284	MRS.Chr	315253	315849	+
contig_285	MRS000285	MRS.Chr	316023	317633	+
contig_286	MRS000286	MRS.Chr	318019	319281	+
contig_287	MRS000287	MRS.Chr	319574	321112	+
contig_288	MRS000288	MRS.Chr	321317	322885	+
contig_289	MRS000289	MRS.Chr	322896	323258	+
contig_290	MRS000290	MRS.Chr	323351	325636	+
contig_291	MRS000291	MRS.Chr	325746	326765	+
contig_292	MRS000292	MRS.Chr	326795	327724	+
contig_293	MRS000293	MRS.Chr	328614	329669	-
contig_294	MRS000294	MRS.Chr	329829	330674	+
contig_295	MRS000295	MRS.Chr	330752	332170	+
contig_296	MRS000296	MRS.Chr	332442	333017	+
contig_297	MRS000297	MRS.Chr	333020	333244	-
contig_298	MRS000298	MRS.Chr	333243	333509	+
contig_299	MRS000299	MRS.Chr	333509	334306	+
contig_300	MRS000300	MRS.Chr	334490	335218	+
contig_301	MRS000301	MRS.Chr	335230	336078	+
contig_302	MRS000302	MRS.Chr	336075	336728	+
contig_303	MRS000303	MRS.Chr	336725	337381	+
contig_304	MRS000304	MRS.Chr	337732	339348	+
contig_305	MRS000305	MRS.Chr	339737	340663	+
contig_306	MRS000306	MRS.Chr	340678	341709	+
contig_307	MRS000307	MRS.Chr	341709	342830	+
contig_308	MRS000308	MRS.Chr	342830	343783	+
contig_309	MRS000309	MRS.Chr	343776	344072	+
contig_310	MRS000310	MRS.Chr	344167	346107	+
contig_311	MRS000311	MRS.Chr	346137	346589	+
contig_312	MRS000312	MRS.Chr	346756	348195	+
contig_313	MRS000313	MRS.Chr	348288	349484	+
contig_314	MRS000314	MRS.Chr	349727	350116	-
contig_315	MRS000315	MRS.Chr	350260	351117	+
contig_316	MRS000316	MRS.Chr	351297	352352	+
contig_317	MRS000317	MRS.Chr	352523	352729	+
contig_318	MRS000318	MRS.Chr	352736	353032	+
contig_319	MRS000319	MRS.Chr	353397	354521	+
contig_320	MRS000320	MRS.Chr	354972	355787	+
contig_321	MRS000321	MRS.Chr	355831	356841	+
contig_322	MRS000322	MRS.Chr	356938	357657	+
contig_323	MRS000323	MRS.Chr	357811	358194	-
contig_324	MRS000324	MRS.Chr	358303	358809	+
contig_325	MRS000325	MRS.Chr	359122	360453	+
contig_326	MRS000326	MRS.Chr	360669	360986	+
contig_327	MRS000327	MRS.Chr	361187	362410	+
contig_328	MRS000328	MRS.Chr	362426	363811	+
contig_329	MRS000329	MRS.Chr	363874	364074	-
contig_330	MRS000330	MRS.Chr	364090	365052	-
contig_331	MRS000331	MRS.Chr	365300	366715	+
contig_332	MRS000332	MRS.Chr	366736	368703	+
contig_333	MRS000333	MRS.Chr	368981	369748	+
contig_334	MRS000334	MRS.Chr	369765	370478	+
contig_335	MRS000335	MRS.Chr	370492	371448	+
contig_336	MRS000336	MRS.Chr	371480	372991	+
contig_337	MRS000337	MRS.Chr	372997	374166	+
contig_338	MRS000338	MRS.Chr	374379	375902	+
contig_339	MRS000339	MRS.Chr	376016	377107	+
contig_340	MRS000340	MRS.Chr	377076	378065	+
contig_341	MRS000341	MRS.Chr	378171	379085	+
contig_342	MRS000342	MRS.Chr	379515	380648	+
contig_343	MRS000343	MRS.Chr	380731	381747	-
contig_344	MRS000344	MRS.Chr	382018	383796	+
contig_345	MRS000345	MRS.Chr	384053	384571	+
contig_346	MRS000346	MRS.Chr	384598	385278	+
contig_347	MRS000347	MRS.Chr	385306	385770	+
contig_348	MRS000348	MRS.Chr	385922	386650	-
contig_349	MRS000349	MRS.Chr	386773	387279	-
contig_350	MRS000350	MRS.Chr	387371	388411	-
contig_351	MRS000351	MRS.Chr	388821	389924	+
contig_352	MRS000352	MRS.Chr	390241	391320	+
contig_353	MRS000353	MRS.Chr	391538	393088	+
contig_354	MRS000354	MRS.Chr	393093	394211	+
contig_355	MRS000355	MRS.Chr	394214	395170	+
contig_356	MRS000356	MRS.Chr	395475	396287	+
contig_357	MRS000357	MRS.Chr	396346	397692	-
contig_358	MRS000358	MRS.Chr	397893	398873	+
contig_359	MRS000359	MRS.Chr	398885	399094	+
contig_360	MRS000360	MRS.Chr	399129	400313	+
contig_361	MRS000361	MRS.Chr	400443	401234	+
contig_362	MRS000362	MRS.Chr	401559	404090	+
contig_363	MRS000363	MRS.Chr	404114	404920	+
contig_364	MRS000364	MRS.Chr	405129	407111	+
contig_365	MRS000365	MRS.Chr	407393	408568	+
contig_366	MRS000366	MRS.Chr	408574	409278	+
contig_367	MRS000367	MRS.Chr	409534	410145	+
contig_368	MRS000368	MRS.Chr	410178	410276	+
contig_369	MRS000369	MRS.Chr	410420	412150	+
contig_370	MRS000370	MRS.Chr	412341	414911	+
contig_371	MRS000371	MRS.Chr	415138	416430	+
contig_372	MRS000372	MRS.Chr	416433	416969	+
contig_373	MRS000373	MRS.Chr	417029	417925	-
contig_374	MRS000374	MRS.Chr	417927	418202	-
contig_375	MRS000375	MRS.Chr	418282	419106	-
contig_376	MRS000376	MRS.Chr	419238	419663	+
contig_377	MRS000377	MRS.Chr	419660	420511	+
contig_378	MRS000378	MRS.Chr	420616	421407	+
contig_379	MRS000379	MRS.Chr	421419	422207	+
contig_380	MRS000380	MRS.Chr	422342	423598	+
contig_381	MRS000381	MRS.Chr	423719	425431	+
contig_382	MRS000382	MRS.Chr	425804	430117	+
contig_383	MRS000383	MRS.Chr	431164	431397	+
contig_384	MRS000384	MRS.Chr	431394	431543	+
contig_385	MRS000385	MRS.Chr	434037	434279	+
contig_386	MRS000386	MRS.Chr	434899	435228	+
contig_387	MRS000387	MRS.Chr	436053	436841	+
contig_388	MRS000388	MRS.Chr	436919	437527	+
contig_389	MRS000389	MRS.Chr	437586	437972	-
contig_390	MRS000390	MRS.Chr	438841	439074	+
contig_391	MRS000391	MRS.Chr	439071	439220	+
contig_392	MRS000392	MRS.Chr	441907	442149	+
contig_393	MRS000393	MRS.Chr	442769	443098	+
contig_394	MRS000394	MRS.Chr	443650	444945	+
contig_395	MRS000395	MRS.Chr	444942	445619	+
contig_396	MRS000396	MRS.Chr	445773	446345	+
contig_397	MRS000397	MRS.Chr	446527	446955	+
contig_398	MRS000398	MRS.Chr	446955	449144	+
contig_399	MRS000399	MRS.Chr	449402	449584	-
contig_400	MRS000400	MRS.Chr	449812	450075	+
contig_401	MRS000401	MRS.Chr	450219	451796	+
contig_402	MRS000402	MRS.Chr	452022	453584	+
contig_403	MRS000403	MRS.Chr	454531	455613	+
contig_404	MRS000404	MRS.Chr	456007	456759	+
contig_405	MRS000405	MRS.Chr	456769	458562	+
contig_406	MRS000406	MRS.Chr	458840	459718	+
contig_407	MRS000407	MRS.Chr	459829	460098	+
contig_408	MRS000408	MRS.Chr	460313	461143	+
contig_409	MRS000409	MRS.Chr	461643	461900	+
contig_410	MRS000410	MRS.Chr	461891	463318	+
contig_411	MRS000411	MRS.Chr	463394	464728	+
contig_412	MRS000412	MRS.Chr	464843	465421	+
contig_413	MRS000413	MRS.Chr	465990	466856	+
contig_414	MRS000414	MRS.Chr	467056	469080	+
contig_415	MRS000415	MRS.Chr	469260	469415	-
contig_416	MRS000416	MRS.Chr	469824	470330	+
contig_417	MRS000417	MRS.Chr	470353	470664	+
contig_418	MRS000418	MRS.Chr	471881	472867	+
contig_419	MRS000419	MRS.Chr	473115	474167	+
contig_420	MRS000420	MRS.Chr	474332	475690	+
contig_421	MRS000421	MRS.Chr	475730	477811	+
contig_422	MRS000422	MRS.Chr	477837	479078	+
contig_423	MRS000423	MRS.Chr	479280	480029	+
contig_424	MRS000424	MRS.Chr	480047	480949	+
contig_425	MRS000425	MRS.Chr	481076	482020	+
contig_426	MRS000426	MRS.Chr	482274	483308	+
contig_427	MRS000427	MRS.Chr	483433	484776	+
contig_428	MRS000428	MRS.Chr	484960	485526	+
contig_429	MRS000429	MRS.Chr	485629	486063	+
contig_430	MRS000430	MRS.Chr	486063	486482	+
contig_431	MRS000431	MRS.Chr	486760	487191	+
contig_432	MRS000432	MRS.Chr	487217	487411	+
contig_433	MRS000433	MRS.Chr	487478	488035	+
contig_434	MRS000434	MRS.Chr	488113	488619	+
contig_435	MRS000435	MRS.Chr	488742	489470	+
contig_436	MRS000436	MRS.Chr	489527	489919	-
contig_437	MRS000437	MRS.Chr	490252	490674	+
contig_438	MRS000438	MRS.Chr	490692	491162	+
contig_439	MRS000439	MRS.Chr	491295	493412	+
contig_440	MRS000440	MRS.Chr	493538	494674	+
contig_441	MRS000441	MRS.Chr	494664	495482	+
contig_442	MRS000442	MRS.Chr	495472	496296	+
contig_443	MRS000443	MRS.Chr	496296	497387	+
contig_444	MRS000444	MRS.Chr	497469	498260	+
contig_445	MRS000445	MRS.Chr	498356	498721	-
contig_446	MRS000446	MRS.Chr	498869	499318	-
contig_447	MRS000447	MRS.Chr	499917	500006	+
contig_448	MRS000448	MRS.Chr	500237	500617	+
contig_449	MRS000449	MRS.Chr	500637	501566	+
contig_450	MRS000450	MRS.Chr	501674	502693	+
contig_451	MRS000451	MRS.Chr	502701	503576	+
contig_452	MRS000452	MRS.Chr	503747	504703	+
contig_453	MRS000453	MRS.Chr	504825	505439	+
contig_454	MRS000454	MRS.Chr	505535	506506	+
contig_455	MRS000455	MRS.Chr	506539	506724	+
contig_456	MRS000456	MRS.Chr	506910	507176	+
contig_457	MRS000457	MRS.Chr	507216	508943	+
contig_458	MRS000458	MRS.Chr	509264	510949	+
contig_459	MRS000459	MRS.Chr	511215	511991	+
contig_460	MRS000460	MRS.Chr	512084	512404	+
contig_461	MRS000461	MRS.Chr	512588	512845	+
contig_462	MRS000462	MRS.Chr	513106	514464	+
contig_463	MRS000463	MRS.Chr	514599	514838	+
contig_464	MRS000464	MRS.Chr	514913	517264	+
contig_465	MRS000465	MRS.Chr	517287	517757	+
contig_466	MRS000466	MRS.Chr	517940	519391	+
contig_467	MRS000467	MRS.Chr	519391	520128	+
contig_468	MRS000468	MRS.Chr	520257	520814	-
contig_469	MRS000469	MRS.Chr	520940	521605	+
contig_470	MRS000470	MRS.Chr	521734	522714	+
contig_471	MRS000471	MRS.Chr	522814	523791	+
contig_472	MRS000472	MRS.Chr	523859	524719	-
contig_473	MRS000473	MRS.Chr	524728	525249	-
contig_474	MRS000474	MRS.Chr	525359	525799	+
contig_475	MRS000475	MRS.Chr	525799	526311	+
contig_476	MRS000476	MRS.Chr	526324	526857	+
contig_477	MRS000477	MRS.Chr	526873	527766	+
contig_478	MRS000478	MRS.Chr	527788	529845	+
contig_479	MRS000479	MRS.Chr	529854	530687	+
contig_480	MRS000480	MRS.Chr	530689	531660	+
contig_481	MRS000481	MRS.Chr	531671	533029	+
contig_482	MRS000482	MRS.Chr	533029	533343	+
contig_483	MRS000483	MRS.Chr	533477	534742	+
contig_484	MRS000484	MRS.Chr	534739	535779	+
contig_485	MRS000485	MRS.Chr	535776	536777	+
contig_486	MRS000486	MRS.Chr	536788	537042	+
contig_487	MRS000487	MRS.Chr	537154	539334	+
contig_488	MRS000488	MRS.Chr	540205	540438	+
contig_489	MRS000489	MRS.Chr	540435	540584	+
contig_490	MRS000490	MRS.Chr	543078	543320	+
contig_491	MRS000491	MRS.Chr	543940	544269	+
contig_492	MRS000492	MRS.Chr	545365	545667	+
contig_493	MRS000493	MRS.Chr	545798	548566	-
contig_494	MRS000494	MRS.Chr	548853	549830	+
contig_495	MRS000495	MRS.Chr	549877	550674	+
contig_496	MRS000496	MRS.Chr	550694	551641	+
contig_497	MRS000497	MRS.Chr	551729	552076	+
contig_498	MRS000498	MRS.Chr	552110	552781	+
contig_499	MRS000499	MRS.Chr	552899	553768	+
contig_500	MRS000500	MRS.Chr	553898	555232	-
contig_501	MRS000501	MRS.Chr	555507	556211	+
contig_502	MRS000502	MRS.Chr	556326	556661	+
contig_503	MRS000503	MRS.Chr	557023	557208	+
contig_504	MRS000504	MRS.Chr	557192	557848	+
contig_505	MRS000505	MRS.Chr	557845	558036	+
contig_506	MRS000506	MRS.Chr	558841	559227	+
contig_507	MRS000507	MRS.Chr	559214	559669	+
contig_508	MRS000508	MRS.Chr	559846	560007	+
contig_509	MRS000509	MRS.Chr	560364	561374	+
contig_510	MRS000510	MRS.Chr	561483	562703	+
contig_511	MRS000511	MRS.Chr	562930	563826	+
contig_512	MRS000512	MRS.Chr	564123	564608	+
contig_513	MRS000513	MRS.Chr	564605	565438	+
contig_514	MRS000514	MRS.Chr	565401	566018	+
contig_515	MRS000515	MRS.Chr	566005	566298	+
contig_516	MRS000516	MRS.Chr	566312	567232	+
