CLOSPO_RS12580	contig1_1
CLOSPO_RS13755	contig1_240
CLOSPO_RS13760	contig1_241
CLOSPO_RS20450	contig1_242
CLOSPO_RS13775	contig1_243
CLOSPO_RS13780	contig1_244
CLOSPO_RS13790	contig1_245
CLOSPO_RS13795	contig1_246
CLOSPO_RS13800	contig1_247
CLOSPO_RS13805	contig1_248
CLOSPO_RS13810	contig1_249
CLOSPO_RS13815	contig1_250
CLOSPO_RS13820	contig1_251
CLOSPO_RS13825	contig1_252
CLOSPO_RS13830	contig1_253
CLOSPO_RS13835	contig1_254
CLOSPO_RS13840	contig1_255
CLOSPO_RS13845	contig1_256
CLOSPO_RS13850	contig1_257
CLOSPO_RS13855	contig1_258
CLOSPO_RS13860	contig1_259
CLOSPO_RS13865	contig1_260
CLOSPO_RS13870	contig1_261
CLOSPO_RS13900	contig1_262
CLOSPO_RS13905	contig1_263
CLOSPO_RS13910	contig1_264
CLOSPO_RS13915	contig1_265
CLOSPO_RS13920	contig1_266
CLOSPO_RS13925	contig1_267
CLOSPO_RS13930	contig1_268
CLOSPO_RS13935	contig1_269
CLOSPO_RS13940	contig1_270
CLOSPO_RS13945	contig1_271
CLOSPO_RS13950	contig1_272
CLOSPO_RS13955	contig1_273
CLOSPO_RS13960	contig1_274
CLOSPO_RS13965	contig1_275
CLOSPO_RS13970	contig1_276
CLOSPO_RS13975	contig1_277
CLOSPO_RS13980	contig1_278
CLOSPO_RS13985	contig1_279
CLOSPO_RS13990	contig1_280
CLOSPO_RS13995	contig1_281
CLOSPO_RS14000	contig1_282
CLOSPO_RS14005	contig1_283
CLOSPO_RS14010	contig1_284
CLOSPO_RS14015	contig1_285
CLOSPO_RS14020	contig1_286
CLOSPO_RS14025	contig1_287
CLOSPO_RS14030	contig1_288
CLOSPO_RS14035	contig1_289
CLOSPO_RS14040	contig1_290
CLOSPO_RS14045	contig1_291
CLOSPO_RS14050	contig1_292
CLOSPO_RS14055	contig1_293
CLOSPO_RS14060	contig1_294
CLOSPO_RS14065	contig1_295
CLOSPO_RS14070	contig1_296
CLOSPO_RS14075	contig1_297
CLOSPO_RS14080	contig1_298
CLOSPO_RS14085	contig1_299
CLOSPO_RS14090	contig1_300
CLOSPO_RS14095	contig1_301
CLOSPO_RS14100	contig1_302
CLOSPO_RS14105	contig1_303
CLOSPO_RS14110	contig1_304
CLOSPO_RS14115	contig1_305
CLOSPO_RS14120	contig1_306
CLOSPO_RS14125	contig1_307
CLOSPO_RS14130	contig1_308
CLOSPO_RS14140	contig1_309
CLOSPO_RS14145	contig1_310
CLOSPO_RS14150	contig1_311
CLOSPO_RS14155	contig1_312
CLOSPO_RS14160	contig1_313
CLOSPO_RS14165	contig1_314
CLOSPO_RS14170	contig1_315
CLOSPO_RS14175	contig1_316
CLOSPO_RS14180	contig1_317
CLOSPO_RS14185	contig1_318
CLOSPO_RS14190	contig1_319
CLOSPO_RS14195	contig1_320
CLOSPO_RS14200	contig1_321
CLOSPO_RS14205	contig1_322
CLOSPO_RS14210	contig1_323
CLOSPO_RS14215	contig1_324
CLOSPO_RS14220	contig1_325
CLOSPO_RS14225	contig1_326
CLOSPO_RS14230	contig1_327
CLOSPO_RS14235	contig1_328
CLOSPO_RS14240	contig1_329
CLOSPO_RS14245	contig1_330
CLOSPO_RS20385	contig1_331
CLOSPO_RS14260	contig1_332
CLOSPO_RS14265	contig1_333
CLOSPO_RS14270	contig1_334
CLOSPO_RS14275	contig1_335
CLOSPO_RS14280	contig1_336
CLOSPO_RS14285	contig1_337
CLOSPO_RS14290	contig1_338
CLOSPO_RS14295	contig1_339
CLOSPO_RS14300	contig1_340
CLOSPO_RS14305	contig1_341
CLOSPO_RS14310	contig1_342
CLOSPO_RS14315	contig1_343
CLOSPO_RS14320	contig1_344
CLOSPO_RS14325	contig1_345
CLOSPO_RS14330	contig1_346
CLOSPO_RS14335	contig1_347
CLOSPO_RS14340	contig1_348
CLOSPO_RS14345	contig1_349
CLOSPO_RS14350	contig1_350
CLOSPO_RS14355	contig1_351
CLOSPO_RS14360	contig1_352
CLOSPO_RS14365	contig1_353
CLOSPO_RS14370	contig1_354
CLOSPO_RS14375	contig1_355
CLOSPO_RS14380	contig1_356
CLOSPO_RS14385	contig1_357
CLOSPO_RS14395	contig1_358
CLOSPO_RS14400	contig1_359
CLOSPO_RS14405	contig1_360
CLOSPO_RS14410	contig1_361
CLOSPO_RS14415	contig1_362
CLOSPO_RS14420	contig1_363
CLOSPO_RS14425	contig1_364
CLOSPO_RS14430	contig1_365
CLOSPO_RS14435	contig1_366
CLOSPO_RS14440	contig1_367
CLOSPO_RS14445	contig1_368
CLOSPO_RS14450	contig1_369
CLOSPO_RS14455	contig1_370
CLOSPO_RS14460	contig1_371
CLOSPO_RS14465	contig1_372
CLOSPO_RS14470	contig1_373
CLOSPO_RS14475	contig1_374
CLOSPO_RS14480	contig1_375
CLOSPO_RS14485	contig1_376
CLOSPO_RS14495	contig1_377
CLOSPO_RS14515	contig1_378
CLOSPO_RS14520	contig1_379
CLOSPO_RS14525	contig1_380
CLOSPO_RS14530	contig1_381
CLOSPO_RS14535	contig1_382
CLOSPO_RS14540	contig1_383
CLOSPO_RS14545	contig1_384
CLOSPO_RS14550	contig1_385
CLOSPO_RS14555	contig1_386
CLOSPO_RS14560	contig1_387
CLOSPO_RS14565	contig1_388
CLOSPO_RS14570	contig1_389
CLOSPO_RS14575	contig1_390
CLOSPO_RS14580	contig1_391
CLOSPO_RS14585	contig1_392
CLOSPO_RS14590	contig1_393
CLOSPO_RS14595	contig1_394
CLOSPO_RS14600	contig1_395
CLOSPO_RS14605	contig1_396
CLOSPO_RS14610	contig1_397
CLOSPO_RS14615	contig1_398
CLOSPO_RS14620	contig1_399
CLOSPO_RS14625	contig1_400
CLOSPO_RS14630	contig1_401
CLOSPO_RS14635	contig1_402
CLOSPO_RS14640	contig1_403
CLOSPO_RS14645	contig1_404
CLOSPO_RS14650	contig1_405
CLOSPO_RS14655	contig1_406
CLOSPO_RS14660	contig1_407
CLOSPO_RS14665	contig1_408
CLOSPO_RS14670	contig1_409
CLOSPO_RS14675	contig1_410
CLOSPO_RS14680	contig1_411
CLOSPO_RS14685	contig1_412
CLOSPO_RS14690	contig1_413
CLOSPO_RS14695	contig1_414
CLOSPO_RS14700	contig1_415
CLOSPO_RS14705	contig1_416
CLOSPO_RS14710	contig1_417
CLOSPO_RS14715	contig1_418
CLOSPO_RS14720	contig1_419
CLOSPO_RS14725	contig1_420
CLOSPO_RS14730	contig1_421
CLOSPO_RS14735	contig1_422
CLOSPO_RS14740	contig1_423
CLOSPO_RS14800	contig1_424
CLOSPO_RS14805	contig1_425
CLOSPO_RS14810	contig1_426
CLOSPO_RS14815	contig1_427
CLOSPO_RS14820	contig1_428
CLOSPO_RS14825	contig1_429
CLOSPO_RS14830	contig1_430
CLOSPO_RS14835	contig1_431
CLOSPO_RS14840	contig1_432
CLOSPO_RS14845	contig1_433
CLOSPO_RS14850	contig1_434
CLOSPO_RS14855	contig1_435
CLOSPO_RS14860	contig1_436
CLOSPO_RS14865	contig1_437
CLOSPO_RS14870	contig1_438
CLOSPO_RS14875	contig1_439
CLOSPO_RS14880	contig1_440
CLOSPO_RS14885	contig1_441
CLOSPO_RS14890	contig1_442
CLOSPO_RS14895	contig1_443
CLOSPO_RS14900	contig1_444
CLOSPO_RS14905	contig1_445
CLOSPO_RS14910	contig1_446
CLOSPO_RS14915	contig1_447
CLOSPO_RS14920	contig1_448
CLOSPO_RS14925	contig1_449
CLOSPO_RS14930	contig1_450
CLOSPO_RS14935	contig1_451
CLOSPO_RS14940	contig1_452
CLOSPO_RS14945	contig1_453
CLOSPO_RS14950	contig1_454
CLOSPO_RS14955	contig1_455
CLOSPO_RS14960	contig1_456
CLOSPO_RS14965	contig1_457
CLOSPO_RS14970	contig1_458
CLOSPO_RS14975	contig1_459
CLOSPO_RS14980	contig1_460
CLOSPO_RS14985	contig1_461
CLOSPO_RS14990	contig1_462
CLOSPO_RS14995	contig1_463
CLOSPO_RS15000	contig1_464
CLOSPO_RS15005	contig1_465
CLOSPO_RS15010	contig1_466
CLOSPO_RS15015	contig1_467
CLOSPO_RS15020	contig1_468
CLOSPO_RS15025	contig1_469
CLOSPO_RS15030	contig1_470
CLOSPO_RS15035	contig1_471
CLOSPO_RS15040	contig1_472
CLOSPO_RS15045	contig1_473
CLOSPO_RS15050	contig1_474
CLOSPO_RS15055	contig1_475
CLOSPO_RS15060	contig1_476
CLOSPO_RS15065	contig1_477
CLOSPO_RS15070	contig1_478
CLOSPO_RS15075	contig1_479
CLOSPO_RS15080	contig1_480
CLOSPO_RS15085	contig1_481
CLOSPO_RS15090	contig1_482
CLOSPO_RS15095	contig1_483
CLOSPO_RS15100	contig1_484
CLOSPO_RS15105	contig1_485
CLOSPO_RS15110	contig1_486
CLOSPO_RS15120	contig1_487
CLOSPO_RS15125	contig1_488
CLOSPO_RS15130	contig1_489
CLOSPO_RS15135	contig1_490
CLOSPO_RS15140	contig1_491
CLOSPO_RS15145	contig1_492
CLOSPO_RS15150	contig1_493
CLOSPO_RS15155	contig1_494
CLOSPO_RS15160	contig1_495
CLOSPO_RS15165	contig1_496
CLOSPO_RS15170	contig1_497
CLOSPO_RS15175	contig1_498
CLOSPO_RS15180	contig1_499
CLOSPO_RS15185	contig1_500
CLOSPO_RS15190	contig1_501
CLOSPO_RS15195	contig1_502
CLOSPO_RS15200	contig1_503
CLOSPO_RS15205	contig1_504
CLOSPO_RS15210	contig1_505
CLOSPO_RS15215	contig1_506
CLOSPO_RS15220	contig1_507
CLOSPO_RS15260	contig1_508
CLOSPO_RS15265	contig1_509
CLOSPO_RS15270	contig1_510
CLOSPO_RS15275	contig1_511
CLOSPO_RS15280	contig1_512
CLOSPO_RS15285	contig1_513
CLOSPO_RS15290	contig1_514
CLOSPO_RS15295	contig1_515
CLOSPO_RS15300	contig1_516
CLOSPO_RS15305	contig1_517
CLOSPO_RS15310	contig1_518
CLOSPO_RS15320	contig1_519
CLOSPO_RS20250	contig1_520
CLOSPO_RS15365	contig1_521
CLOSPO_RS15390	contig1_522
CLOSPO_RS15395	contig1_523
CLOSPO_RS15420	contig1_524
CLOSPO_RS15425	contig1_525
CLOSPO_RS15430	contig1_526
CLOSPO_RS15435	contig1_527
CLOSPO_RS15440	contig1_528
CLOSPO_RS15445	contig1_529
CLOSPO_RS15450	contig1_530
CLOSPO_RS15455	contig1_531
CLOSPO_RS15460	contig1_532
CLOSPO_RS15465	contig1_533
CLOSPO_RS15470	contig1_534
CLOSPO_RS15475	contig1_535
CLOSPO_RS15480	contig1_536
CLOSPO_RS15485	contig1_537
CLOSPO_RS15490	contig1_538
CLOSPO_RS15495	contig1_539
CLOSPO_RS15505	contig1_540
CLOSPO_RS15510	contig1_541
CLOSPO_RS15515	contig1_542
CLOSPO_RS15520	contig1_543
CLOSPO_RS15525	contig1_544
CLOSPO_RS15530	contig1_545
CLOSPO_RS15535	contig1_546
CLOSPO_RS15540	contig1_547
CLOSPO_RS19070	contig1_548
CLOSPO_RS15550	contig1_549
CLOSPO_RS15555	contig1_550
CLOSPO_RS15560	contig1_551
CLOSPO_RS15565	contig1_552
CLOSPO_RS15570	contig1_553
CLOSPO_RS15575	contig1_554
CLOSPO_RS15580	contig1_555
CLOSPO_RS15585	contig1_556
CLOSPO_RS15590	contig1_557
CLOSPO_RS20255	contig1_558
CLOSPO_RS20260	contig1_559
CLOSPO_RS15600	contig1_560
CLOSPO_RS15605	contig1_561
CLOSPO_RS15610	contig1_562
CLOSPO_RS15615	contig1_563
CLOSPO_RS15620	contig1_564
CLOSPO_RS15625	contig1_565
CLOSPO_RS15630	contig1_566
CLOSPO_RS15635	contig1_567
CLOSPO_RS15640	contig1_568
CLOSPO_RS15645	contig1_569
CLOSPO_RS15650	contig1_570
CLOSPO_RS15655	contig1_571
CLOSPO_RS15660	contig1_572
CLOSPO_RS15665	contig1_573
CLOSPO_RS15670	contig1_574
CLOSPO_RS15675	contig1_575
CLOSPO_RS15680	contig1_576
CLOSPO_RS15685	contig1_577
CLOSPO_RS15690	contig1_578
CLOSPO_RS15695	contig1_579
CLOSPO_RS15700	contig1_580
CLOSPO_RS15705	contig1_581
CLOSPO_RS19465	contig1_582
CLOSPO_RS15710	contig1_583
CLOSPO_RS15715	contig1_584
CLOSPO_RS15725	contig1_585
CLOSPO_RS15735	contig1_586
CLOSPO_RS15740	contig1_587
CLOSPO_RS15745	contig1_588
CLOSPO_RS15750	contig1_589
CLOSPO_RS15755	contig1_590
CLOSPO_RS15760	contig1_591
CLOSPO_RS15765	contig1_592
CLOSPO_RS15770	contig1_593
CLOSPO_RS15775	contig1_594
CLOSPO_RS15780	contig1_595
CLOSPO_RS15785	contig1_596
CLOSPO_RS15790	contig1_597
CLOSPO_RS15795	contig1_598
CLOSPO_RS15800	contig1_599
CLOSPO_RS15805	contig1_600
CLOSPO_RS15810	contig1_601
CLOSPO_RS15815	contig1_602
CLOSPO_RS15820	contig1_603
CLOSPO_RS15825	contig1_604
CLOSPO_RS15830	contig1_605
CLOSPO_RS15835	contig1_606
CLOSPO_RS15840	contig1_607
CLOSPO_RS15845	contig1_608
CLOSPO_RS15850	contig1_609
CLOSPO_RS15855	contig1_610
CLOSPO_RS15860	contig1_611
CLOSPO_RS15865	contig1_612
CLOSPO_RS15870	contig1_613
CLOSPO_RS15875	contig1_614
CLOSPO_RS15880	contig1_615
CLOSPO_RS15885	contig1_616
CLOSPO_RS15890	contig1_617
CLOSPO_RS15895	contig1_618
CLOSPO_RS15900	contig1_619
CLOSPO_RS15905	contig1_620
CLOSPO_RS15910	contig1_621
CLOSPO_RS15915	contig1_622
CLOSPO_RS15920	contig1_623
CLOSPO_RS15925	contig1_624
CLOSPO_RS15930	contig1_625
CLOSPO_RS15935	contig1_626
CLOSPO_RS15940	contig1_627
CLOSPO_RS15945	contig1_628
CLOSPO_RS15950	contig1_629
CLOSPO_RS15955	contig1_630
CLOSPO_RS15960	contig1_631
CLOSPO_RS15965	contig1_632
CLOSPO_RS15970	contig1_633
CLOSPO_RS15975	contig1_634
CLOSPO_RS15980	contig1_635
CLOSPO_RS15985	contig1_636
CLOSPO_RS15990	contig1_637
CLOSPO_RS15995	contig1_638
CLOSPO_RS16000	contig1_639
CLOSPO_RS16005	contig1_640
CLOSPO_RS16010	contig1_641
CLOSPO_RS16015	contig1_642
CLOSPO_RS16020	contig1_643
CLOSPO_RS16025	contig1_644
CLOSPO_RS16030	contig1_645
CLOSPO_RS16035	contig1_646
CLOSPO_RS16040	contig1_647
CLOSPO_RS16045	contig1_648
CLOSPO_RS16050	contig1_649
CLOSPO_RS16055	contig1_650
CLOSPO_RS16060	contig1_651
CLOSPO_RS16065	contig1_652
CLOSPO_RS16070	contig1_653
CLOSPO_RS16075	contig1_654
CLOSPO_RS16080	contig1_655
CLOSPO_RS16085	contig1_656
CLOSPO_RS16090	contig1_657
CLOSPO_RS16095	contig1_658
CLOSPO_RS16100	contig1_659
CLOSPO_RS16105	contig1_660
CLOSPO_RS16110	contig1_661
CLOSPO_RS16115	contig1_662
CLOSPO_RS16120	contig1_663
CLOSPO_RS16125	contig1_664
CLOSPO_RS16130	contig1_665
CLOSPO_RS16135	contig1_666
CLOSPO_RS16140	contig1_667
CLOSPO_RS16145	contig1_668
CLOSPO_RS16150	contig1_669
CLOSPO_RS16155	contig1_670
CLOSPO_RS16160	contig1_671
CLOSPO_RS16165	contig1_672
CLOSPO_RS16170	contig1_673
CLOSPO_RS16175	contig1_674
CLOSPO_RS16180	contig1_675
CLOSPO_RS16185	contig1_676
CLOSPO_RS16190	contig1_677
CLOSPO_RS16195	contig1_678
CLOSPO_RS16200	contig1_679
CLOSPO_RS16205	contig1_680
CLOSPO_RS16215	contig1_681
CLOSPO_RS16220	contig1_682
CLOSPO_RS16225	contig1_683
CLOSPO_RS16230	contig1_684
CLOSPO_RS16235	contig1_685
CLOSPO_RS19475	contig1_686
CLOSPO_RS19480	contig1_687
CLOSPO_RS16240	contig1_688
CLOSPO_RS16245	contig1_689
CLOSPO_RS16250	contig1_690
CLOSPO_RS16255	contig1_691
CLOSPO_RS16260	contig1_692
CLOSPO_RS16265	contig1_693
CLOSPO_RS16270	contig1_694
CLOSPO_RS16275	contig1_695
CLOSPO_RS16280	contig1_696
CLOSPO_RS16285	contig1_697
CLOSPO_RS16290	contig1_698
CLOSPO_RS16295	contig1_699
CLOSPO_RS16300	contig1_700
CLOSPO_RS16305	contig1_701
CLOSPO_RS16310	contig1_702
CLOSPO_RS16320	contig1_703
CLOSPO_RS16325	contig1_704
CLOSPO_RS16330	contig1_705
CLOSPO_RS16335	contig1_706
CLOSPO_RS16340	contig1_707
CLOSPO_RS16345	contig1_708
CLOSPO_RS16350	contig1_709
CLOSPO_RS16355	contig1_710
CLOSPO_RS16360	contig1_711
CLOSPO_RS16365	contig1_712
CLOSPO_RS16370	contig1_713
CLOSPO_RS16375	contig1_714
CLOSPO_RS16380	contig1_715
CLOSPO_RS16385	contig1_716
CLOSPO_RS16390	contig1_717
CLOSPO_RS16395	contig1_718
CLOSPO_RS16400	contig1_719
CLOSPO_RS16405	contig1_720
CLOSPO_RS16410	contig1_721
CLOSPO_RS16415	contig1_722
CLOSPO_RS16420	contig1_723
CLOSPO_RS16425	contig1_724
CLOSPO_RS19075	contig1_725
CLOSPO_RS16435	contig1_726
CLOSPO_RS16440	contig1_727
CLOSPO_RS16445	contig1_728
CLOSPO_RS16450	contig1_729
CLOSPO_RS16455	contig1_730
CLOSPO_RS16460	contig1_731
CLOSPO_RS16465	contig1_732
CLOSPO_RS16470	contig1_733
CLOSPO_RS16475	contig1_734
CLOSPO_RS16480	contig1_735
CLOSPO_RS16485	contig1_736
CLOSPO_RS16490	contig1_737
CLOSPO_RS16495	contig1_738
CLOSPO_RS16500	contig1_739
CLOSPO_RS20265	contig1_740
CLOSPO_RS16505	contig1_741
CLOSPO_RS16510	contig1_742
CLOSPO_RS16515	contig1_743
CLOSPO_RS20270	contig1_744
CLOSPO_RS20275	contig1_745
CLOSPO_RS16525	contig1_746
CLOSPO_RS16530	contig1_747
CLOSPO_RS16535	contig1_748
CLOSPO_RS16540	contig1_749
CLOSPO_RS16545	contig1_750
CLOSPO_RS16550	contig1_751
CLOSPO_RS16555	contig1_752
CLOSPO_RS16560	contig1_753
CLOSPO_RS16565	contig1_754
CLOSPO_RS16570	contig1_755
CLOSPO_RS16575	contig1_756
CLOSPO_RS16580	contig1_757
CLOSPO_RS16585	contig1_758
CLOSPO_RS16590	contig1_759
CLOSPO_RS16595	contig1_760
CLOSPO_RS16600	contig1_761
CLOSPO_RS16605	contig1_762
CLOSPO_RS16610	contig1_763
CLOSPO_RS16615	contig1_764
CLOSPO_RS16620	contig1_765
CLOSPO_RS19835	contig1_766
CLOSPO_RS16625	contig1_767
CLOSPO_RS16630	contig1_768
CLOSPO_RS16635	contig1_769
CLOSPO_RS16640	contig1_770
CLOSPO_RS16645	contig1_771
CLOSPO_RS16650	contig1_772
CLOSPO_RS16655	contig1_773
CLOSPO_RS16660	contig1_774
CLOSPO_RS16665	contig1_775
CLOSPO_RS16670	contig1_776
